rank,configuration,workload,memory_mb,architecture,workers,avg_execution_time,aws_cost_total,cost_per_second,avg_tdp
1,video-512-x86-4w,video,512,x86,4,0.0004566149278120562,1.7415263436057354e-07,0.00038139934494707366,316.74557047843933
2,video-512-x86-4w,video,512,x86,4,0.0004986849698153409,1.9799926064231182e-07,0.00039704276773296256,387.1356831052899
3,video-512-x86-4w,video,512,x86,4,0.0004243633963844993,1.727073842828924e-07,0.00040697992747331323,318.5237035030126
4,video-512-x86-4w,video,512,x86,4,0.0004978884350169789,2.232911370017312e-07,0.0004484762474832672,381.5685895982384
5,video-512-x86-5w,video,512,x86,5,0.0005656199021772905,2.762234210968018e-07,0.0004883552011403959,419.20587263929843
6,video-512-x86-5w,video,512,x86,5,0.00046712701970880676,2.3214329372752795e-07,0.0004969596789161099,323.7005120873451
7,video-512-x86-5w,video,512,x86,5,0.0004410960457541726,2.2311048074202104e-07,0.0005058092968404501,392.01636473953727
8,video-512-x86-5w,video,512,x86,5,0.0006675243377685546,3.53544300252741e-07,0.0005296350713362642,453.3007598470449
9,video-512-x86-6w,video,512,x86,6,0.0004564632068980824,2.612289515408603e-07,0.0005722891737891739,329.1590421652794
10,video-512-x86-6w,video,512,x86,6,0.0005625197381684275,3.2192945480346687e-07,0.0005722989487474233,440.066114672025
11,video-512-x86-7w,video,512,x86,7,0.0006619397695962484,4.301425543698398e-07,0.0006498212890762042,462.46599100989954
12,video-512-x86-6w,video,512,x86,6,0.0005251458196929007,3.575187379663641e-07,0.0006807989791777016,407.84427817235394
13,video-512-x86-6w,video,512,x86,6,0.00045910748568448156,3.1325795433738014e-07,0.0006823194221508827,363.8790528053046
14,video-1024-x86-4w,video,1024,x86,4,0.0006706552072004838,4.7115152532404125e-07,0.0007025242185038258,429.18386739149685
15,video-512-x86-7w,video,512,x86,7,0.0004907304590398614,3.477632999420166e-07,0.0007086645907866261,334.60251138627524
16,video-512-x86-7w,video,512,x86,7,0.0004461895335804332,3.212068297646262e-07,0.0007198887593510152,373.674908914566
17,video-512-x86-8w,video,512,x86,8,0.00042856823314319956,3.266265175559304e-07,0.0007621342234359986,312.07358645141124
18,video-512-x86-7w,video,512,x86,7,0.0005663710755187195,4.31768460707231e-07,0.000762342003979969,439.22650237492155
19,video-512-x86-9w,video,512,x86,9,0.0007507391650267322,5.829777500846169e-07,0.0007765383467956654,489.3537846663926
20,video-1024-x86-4w,video,1024,x86,4,0.000425642186945135,3.367432680996982e-07,0.0007911416641205825,328.5428802359105
