Architecture,Memory_MB,Workers,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
ARM,512,4,ml,64,84.22683756776183,5894.952648369907,2.2471720263078856
ARM,512,4,pi,10,50.19167342185974,1902.9589940404896,1.339113846895218
ARM,512,4,video,32,225.92219759523869,11269.865787631272,6.027604231840968
ARM,512,5,ml,64,108.42678134050395,9123.733651054197,3.6160331577058056
ARM,512,5,pi,10,39.931666460037235,1945.0929044878485,1.3317210764422418
ARM,512,5,video,28,223.23641169411795,13912.818958522595,7.444934329998833
ARM,512,6,ml,64,108.48349154568082,10965.51758059742,4.341509331658147
ARM,512,6,pi,10,33.01017362674077,1955.674383713007,1.3210671485421657
ARM,512,6,video,28,212.69083455063048,15794.532997953891,8.51188719871623
ARM,512,7,ml,64,107.77951022877217,12770.566532850986,5.032225332581372
ARM,512,7,pi,10,28.15592167377472,1983.8565511643887,1.3145999829485415
ARM,512,7,video,32,210.56793024710248,18191.993135236204,9.831416663237214
ARM,512,8,ml,64,108.35387644645849,14666.444127272553,5.781762847183026
ARM,512,8,pi,10,24.571371388435363,1979.0048449254036,1.311128377286911
ARM,512,8,video,32,208.8672679066658,20614.693163855372,11.145157415499686
ARM,512,9,ml,72,107.76451338257641,16461.632097298057,6.469103738356061
ARM,512,9,pi,10,21.740068358845186,2047.859719439745,1.3050563035814762
ARM,512,9,video,32,206.8118108742767,22899.155448105932,12.414913006782829
ARM,512,10,ml,64,109.49301895739093,18591.887836215887,7.303184364457975
ARM,512,10,pi,10,19.523156888484955,2041.858793721199,1.3021945644619464
ARM,512,10,video,32,206.51927428245546,25449.139273749293,13.774835594639777
ARM,512,12,ml,72,109.78621028677414,22363.732536684573,8.7872882713534
ARM,512,12,pi,10,16.154261964559556,2120.3338885474204,1.292987127643347
ARM,512,12,titanic,5,33.55135869582494,6589.936064243317,2.685450750013828
ARM,512,12,video,32,205.06819054484367,30395.180967938897,16.413657971209286
ARM,512,16,ml,64,108.08248685412033,29345.369339058438,11.534562997071719
ARM,512,16,pi,10,12.202124580740929,2228.904055815935,1.302210735256672
ARM,512,16,titanic,5,23.72417632639408,6731.177224466801,2.531844097552776
ARM,512,16,video,32,219.61710528098047,44417.116724903884,23.437537475586232
ARM,512,20,ml,80,109.30452946251037,37518.4914772992,14.581224230298885
ARM,512,20,pi,10,9.7458134663105,2428.296223767996,1.3000915164058209
ARM,512,20,titanic,5,18.363620302677155,6914.317182917594,2.4497069483771328
ARM,512,20,video,28,207.31991068635668,51589.62349091087,27.65647608555998
ARM,512,24,ml,64,108.27438661486306,44932.46635258976,17.33256380930728
ARM,512,24,pi,10,7.944942524035771,2493.676457698345,1.2718263992476462
ARM,512,24,titanic,5,14.820417867104211,7481.365533385277,2.3724524921660426
ARM,512,24,video,28,203.97813658912975,60376.260607121665,32.65282010518789
ARM,512,28,ml,64,108.68477038760724,52682.01804271673,20.297967717589522
ARM,512,28,pi,10,6.792246729135513,2660.8145429205892,1.2685199991333485
ARM,512,28,titanic,5,12.554001694066184,7291.37104609251,2.3445853563838
ARM,512,28,video,32,207.03379735776355,72228.22073701172,38.66563199453592
ARM,1024,4,ml,48,52.46328362509621,7611.693407463776,2.7994408142351332
ARM,1024,4,pi,11,36.45314306020737,1790.3525601322,1.9451397136926651
ARM,1024,4,titanic,8,63.77793858200312,7860.907910700142,3.403190802735686
ARM,1024,4,video,32,110.96604102104902,12051.370502935351,5.921147948883176
ARM,1024,5,ml,48,52.248577761902176,9504.350020428783,3.484980136718875
ARM,1024,5,pi,10,29.083511514663694,1824.9063382172585,1.9398702180280687
ARM,1024,5,titanic,8,48.221961772441865,7582.023119585216,3.216404850221872
ARM,1024,5,video,52,110.01921502626858,15038.228565233485,7.338281642252113
ARM,1024,6,ml,48,52.355394935603286,11480.220202773957,4.1905258106456875
ARM,1024,6,pi,10,24.13384024699529,1856.4975619900229,1.931672573369503
ARM,1024,6,titanic,8,37.94128341476122,7302.452557574214,3.0368203245174885
ARM,1024,6,video,48,106.50549616085158,17361.10234816273,8.52469991271456
ARM,1024,7,ml,48,52.529795771151655,13489.942489705185,4.905232329110141
ARM,1024,7,pi,10,20.643560242652892,1895.444735673666,1.927695655458927
ARM,1024,7,titanic,9,31.72078042181711,7253.808443085351,2.9620864757892815
ARM,1024,7,video,48,104.74142616419566,19766.41003430287,9.780754375212588
ARM,1024,8,ml,96,52.60845229866564,15530.183548216775,5.614374029313597
ARM,1024,8,pi,10,18.121318054199214,1908.93930021286,1.9339070627441408
ARM,1024,8,titanic,9,26.841130395730335,7177.109066882399,2.864485435832341
ARM,1024,8,video,44,102.29858043518932,21993.60757721229,10.917304504043406
