Architecture,Memory_MB,Workers,Stage,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
x86,512,4,stage3,ml,10,3.854360580444336,1029.7267620104792,0.12850438175201415
x86,512,5,stage3,ml,10,3.933221459388733,1298.4505876181126,0.16391700432002546
x86,512,6,stage3,ml,10,4.007861638069153,1580.5625573000907,0.20043316051983837
x86,512,7,stage3,ml,10,4.059470558166504,1827.1344615828511,0.23684980971622474
x86,512,8,stage3,ml,10,4.112745451927185,2162.8212381677627,0.27423786673450473
x86,512,9,stage3,ml,10,4.195767736434936,2465.8415767883776,0.31474551674866674
x86,512,10,stage3,ml,10,4.308981823921203,2872.8518030653,0.35915363502383235
x86,512,12,stage3,ml,10,4.424480009078979,3451.7387515148166,0.4425364905080795
x86,512,16,stage3,ml,9,4.81985608736674,4542.98178071679,0.6427760078112286
x86,512,20,stage3,ml,9,5.051013496186998,5851.911018724972,0.8420039498143727
x86,512,24,stage3,ml,10,5.574599719047546,7819.685745776366,1.1151429277982712
x86,512,28,stage3,ml,10,5.55474967956543,8631.968920514108,1.29636748021698
x86,512,4,stage0,video,7,122.5113367012569,10098.136379956384,4.084527965619905
x86,512,5,stage0,video,7,124.75470181873867,13086.057167566843,5.199152198295934
x86,512,6,stage0,video,8,141.26577338576317,17039.686913133504,7.064701327022017
x86,512,7,stage0,video,8,137.0710137784481,19956.62031659636,7.997408298903555
x86,512,8,stage0,video,8,140.88722693920135,22279.767979576354,9.394360292305947
x86,512,9,stage0,video,8,141.27687573432922,26971.552865030048,10.597884833210706
x86,512,10,stage0,video,7,147.34040996006556,29897.895878099705,12.280823170171466
x86,512,12,stage0,video,7,145.36466349874223,34941.465790395596,14.539373643144199
x86,512,16,stage0,video,8,140.72875586152077,49135.62259821414,18.76758688169241
x86,512,20,stage0,video,8,136.7704881131649,58608.41626635431,22.79964036846459
x86,512,24,stage0,video,8,143.40992215275764,75061.2056026783,28.687720827437644
x86,512,28,stage0,video,8,132.88631439208984,81969.38614264417,31.013008052825928
ARM,2048,4,stage,pi,10,33.07968195080757,1761.700212322474,3.5302636577901834
ARM,2048,5,stage,pi,10,26.425334572792053,1778.110843367576,3.5251396320104598
ARM,2048,6,stage,pi,10,21.959234444300332,1836.9892789220812,3.5152342498435964
ARM,2048,7,stage,pi,10,18.79253443309239,1877.4230048060415,3.5096937307243343
ARM,2048,8,stage,pi,10,16.520871248841285,1903.7526035475728,3.526214759352684
ARM,2048,9,stage,pi,10,14.662270140647887,1914.8355160212518,3.5207043061723704
ARM,2048,10,stage,pi,10,13.208654475212096,1987.0656715250016,3.5240690139865873
ARM,2048,12,stage,pi,10,10.978002085288365,2064.0741508674623,3.5147171476259222
ARM,2048,16,stage,pi,10,8.213742268085479,2215.5674924099435,3.506282299400329
ARM,2048,20,stage,pi,10,6.613244588375092,2315.455883636475,3.528827312356949
ARM,2048,24,stage,pi,10,5.44068411787351,2534.333627589942,3.4837788543567663
ARM,2048,28,stage,pi,10,4.650761858906065,2707.795774952172,3.4743051390771864
ARM,512,4,stage0,ml,16,5.870146298270507,644.6762492868627,0.1566155032378571
ARM,512,5,stage0,ml,16,5.691862250878313,787.3213809294527,0.18982360606679174
ARM,512,6,stage0,ml,16,5.5659046577082085,957.8790947682714,0.22274750440148247
ARM,512,7,stage0,ml,16,5.5609128818370674,1137.55316017646,0.25963902245297266
ARM,512,8,stage0,ml,16,5.592642024472445,1283.8171227148819,0.29842337842584965
ARM,512,9,stage0,ml,18,5.5492852071949255,1420.9200420907073,0.3331235909879114
ARM,512,10,stage0,ml,16,5.683189527530981,1613.7850063084554,0.3790687414863165
ARM,512,12,stage0,ml,18,5.730476168968892,1930.4249187828368,0.45866731256427007
ARM,512,16,stage0,ml,16,5.7938638676412095,2659.9800808379564,0.6183211519546699
ARM,512,20,stage0,ml,20,5.576064325721736,3265.766400805697,0.7438469810512797
ARM,512,24,stage0,ml,16,5.736800393876761,4079.057718512399,0.9183470070517918
ARM,512,28,stage0,ml,16,5.6212280916603525,4508.0632903786745,1.0498205583984872
ARM,1024,4,stage1,ml,12,45.26633008088455,5578.815039720837,2.4154113731159996
ARM,1024,5,stage1,ml,12,44.93753927714534,6878.330292646555,2.997333869785594
ARM,1024,6,stage1,ml,12,44.8774200094958,8284.243316873031,3.5919886975600437
ARM,1024,7,stage1,ml,12,44.99216420876186,9686.556779638182,4.201368293814182
ARM,1024,8,stage1,ml,24,44.967517081540926,11060.408146101097,4.7989334229420475
ARM,1024,9,stage1,ml,24,45.06582011337852,12422.459840752388,5.4106023628122255
