# Analysis Results Summary
Analysis of memory, workers, and total_executions for each JSON file

## ml_stage0_analysis.json
==========================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 5 | 4 |
| 512 | 6 | 4 |
| 512 | 7 | 6 |
| 512 | 8 | 6 |
| 512 | 9 | 6 |
| 512 | 10 | 7 |

## ml_stage0_aws_1024Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 12 |
| 1024 | 5 | 12 |
| 1024 | 6 | 12 |
| 1024 | 7 | 12 |
| 1024 | 8 | 24 |
| 1024 | 9 | 24 |
| 1024 | 10 | 24 |
| 1024 | 12 | 12 |
| 1024 | 16 | 18 |
| 1024 | 20 | 20 |
| 1024 | 24 | 17 |
| 1024 | 28 | 20 |

## ml_stage0_aws_1024Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## ml_stage0_aws_2048Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 19 |
| 2048 | 5 | 19 |
| 2048 | 6 | 17 |
| 2048 | 7 | 22 |
| 2048 | 8 | 10 |
| 2048 | 9 | 13 |
| 2048 | 10 | 15 |
| 2048 | 12 | 16 |
| 2048 | 16 | 12 |
| 2048 | 20 | 24 |
| 2048 | 24 | 15 |
| 2048 | 28 | 14 |

## ml_stage0_aws_2048Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 13 |
| 2048 | 5 | 14 |
| 2048 | 6 | 13 |
| 2048 | 7 | 14 |
| 2048 | 8 | 15 |
| 2048 | 9 | 14 |
| 2048 | 10 | 14 |
| 2048 | 12 | 15 |
| 2048 | 16 | 15 |
| 2048 | 20 | 15 |
| 2048 | 24 | 13 |
| 2048 | 28 | 14 |

## ml_stage0_aws_512Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 16 |
| 512 | 5 | 16 |
| 512 | 6 | 16 |
| 512 | 7 | 16 |
| 512 | 8 | 16 |
| 512 | 9 | 18 |
| 512 | 10 | 16 |
| 512 | 12 | 18 |
| 512 | 16 | 16 |
| 512 | 20 | 20 |
| 512 | 24 | 16 |
| 512 | 28 | 16 |

## ml_stage0_aws_512Mb_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
| 512 | 6 | 10 |
| 512 | 7 | 10 |
| 512 | 8 | 10 |
| 512 | 9 | 10 |
| 512 | 10 | 10 |
| 512 | 12 | 10 |
| 512 | 16 | 9 |
| 512 | 20 | 9 |
| 512 | 24 | 10 |
| 512 | 28 | 10 |

## ml_stage1_analysis.json
==========================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 5 | 4 |
| 512 | 6 | 4 |
| 512 | 7 | 6 |
| 512 | 8 | 6 |
| 512 | 9 | 6 |
| 512 | 10 | 7 |

## ml_stage1_aws_1024Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 12 |
| 1024 | 5 | 12 |
| 1024 | 6 | 12 |
| 1024 | 7 | 12 |
| 1024 | 8 | 24 |
| 1024 | 9 | 24 |
| 1024 | 10 | 24 |
| 1024 | 12 | 12 |
| 1024 | 16 | 18 |
| 1024 | 20 | 20 |
| 1024 | 24 | 17 |
| 1024 | 28 | 20 |

## ml_stage1_aws_1024Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## ml_stage1_aws_2048Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 19 |
| 2048 | 5 | 19 |
| 2048 | 6 | 17 |
| 2048 | 7 | 22 |
| 2048 | 8 | 10 |
| 2048 | 9 | 13 |
| 2048 | 10 | 15 |
| 2048 | 12 | 16 |
| 2048 | 16 | 12 |
| 2048 | 20 | 24 |
| 2048 | 24 | 15 |
| 2048 | 28 | 14 |

## ml_stage1_aws_2048Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 13 |
| 2048 | 5 | 14 |
| 2048 | 6 | 13 |
| 2048 | 7 | 14 |
| 2048 | 8 | 15 |
| 2048 | 9 | 14 |
| 2048 | 10 | 14 |
| 2048 | 12 | 15 |
| 2048 | 16 | 15 |
| 2048 | 20 | 15 |
| 2048 | 24 | 13 |
| 2048 | 28 | 14 |

## ml_stage1_aws_512Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 16 |
| 512 | 5 | 16 |
| 512 | 6 | 16 |
| 512 | 7 | 16 |
| 512 | 8 | 16 |
| 512 | 9 | 18 |
| 512 | 10 | 16 |
| 512 | 12 | 18 |
| 512 | 16 | 16 |
| 512 | 20 | 20 |
| 512 | 24 | 16 |
| 512 | 28 | 16 |

## ml_stage1_aws_512Mb_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
| 512 | 6 | 10 |
| 512 | 7 | 10 |
| 512 | 8 | 10 |
| 512 | 9 | 10 |
| 512 | 10 | 10 |
| 512 | 12 | 10 |
| 512 | 16 | 9 |
| 512 | 20 | 9 |
| 512 | 24 | 10 |
| 512 | 28 | 10 |

## ml_stage2_analysis.json
==========================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 5 | 4 |
| 512 | 6 | 4 |
| 512 | 7 | 6 |
| 512 | 8 | 6 |
| 512 | 9 | 6 |
| 512 | 10 | 7 |

## ml_stage2_aws_1024Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 12 |
| 1024 | 5 | 12 |
| 1024 | 6 | 12 |
| 1024 | 7 | 12 |
| 1024 | 8 | 24 |
| 1024 | 9 | 24 |
| 1024 | 10 | 24 |
| 1024 | 12 | 12 |
| 1024 | 16 | 18 |
| 1024 | 20 | 20 |
| 1024 | 24 | 17 |
| 1024 | 28 | 20 |

## ml_stage2_aws_1024Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## ml_stage2_aws_2048Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 19 |
| 2048 | 5 | 19 |
| 2048 | 6 | 17 |
| 2048 | 7 | 22 |
| 2048 | 8 | 10 |
| 2048 | 9 | 13 |
| 2048 | 10 | 15 |
| 2048 | 12 | 16 |
| 2048 | 16 | 12 |
| 2048 | 20 | 24 |
| 2048 | 24 | 15 |
| 2048 | 28 | 14 |

## ml_stage2_aws_2048Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 13 |
| 2048 | 5 | 14 |
| 2048 | 6 | 13 |
| 2048 | 7 | 14 |
| 2048 | 8 | 15 |
| 2048 | 9 | 14 |
| 2048 | 10 | 14 |
| 2048 | 12 | 15 |
| 2048 | 16 | 15 |
| 2048 | 20 | 15 |
| 2048 | 24 | 13 |
| 2048 | 28 | 14 |

## ml_stage2_aws_512Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 16 |
| 512 | 5 | 16 |
| 512 | 6 | 16 |
| 512 | 7 | 16 |
| 512 | 8 | 16 |
| 512 | 9 | 18 |
| 512 | 10 | 16 |
| 512 | 12 | 18 |
| 512 | 16 | 16 |
| 512 | 20 | 20 |
| 512 | 24 | 16 |
| 512 | 28 | 16 |

## ml_stage2_aws_512Mb_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
| 512 | 6 | 10 |
| 512 | 7 | 10 |
| 512 | 8 | 10 |
| 512 | 9 | 10 |
| 512 | 10 | 10 |
| 512 | 12 | 10 |
| 512 | 16 | 9 |
| 512 | 20 | 9 |
| 512 | 24 | 10 |
| 512 | 28 | 10 |

## ml_stage3_analysis.json
==========================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 5 | 4 |
| 512 | 6 | 4 |
| 512 | 7 | 6 |
| 512 | 8 | 6 |
| 512 | 9 | 6 |
| 512 | 10 | 7 |

## ml_stage3_aws_1024Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 12 |
| 1024 | 5 | 12 |
| 1024 | 6 | 12 |
| 1024 | 7 | 12 |
| 1024 | 8 | 24 |
| 1024 | 9 | 24 |
| 1024 | 10 | 24 |
| 1024 | 12 | 12 |
| 1024 | 16 | 18 |
| 1024 | 20 | 20 |
| 1024 | 24 | 17 |
| 1024 | 28 | 20 |

## ml_stage3_aws_1024Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## ml_stage3_aws_2048Mb_arm_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 19 |
| 2048 | 5 | 19 |
| 2048 | 6 | 17 |
| 2048 | 7 | 22 |
| 2048 | 8 | 10 |
| 2048 | 9 | 13 |
| 2048 | 10 | 15 |
| 2048 | 12 | 16 |
| 2048 | 16 | 12 |
| 2048 | 20 | 24 |
| 2048 | 24 | 11 |
| 2048 | 28 | 10 |

## ml_stage3_aws_2048Mb_x86_analysis.json
=========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 13 |
| 2048 | 5 | 14 |
| 2048 | 6 | 13 |
| 2048 | 7 | 14 |
| 2048 | 8 | 15 |
| 2048 | 9 | 14 |
| 2048 | 10 | 14 |
| 2048 | 12 | 15 |
| 2048 | 16 | 15 |
| 2048 | 20 | 15 |
| 2048 | 24 | 13 |
| 2048 | 28 | 14 |

## ml_stage3_aws_512Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 16 |
| 512 | 5 | 16 |
| 512 | 6 | 16 |
| 512 | 7 | 16 |
| 512 | 8 | 16 |
| 512 | 9 | 18 |
| 512 | 10 | 16 |
| 512 | 12 | 18 |
| 512 | 16 | 16 |
| 512 | 20 | 20 |
| 512 | 24 | 16 |
| 512 | 28 | 16 |

## ml_stage3_aws_512Mb_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
| 512 | 6 | 10 |
| 512 | 7 | 10 |
| 512 | 8 | 10 |
| 512 | 9 | 10 |
| 512 | 10 | 10 |
| 512 | 12 | 10 |
| 512 | 16 | 9 |
| 512 | 20 | 9 |
| 512 | 24 | 10 |
| 512 | 28 | 10 |

## pi_stage_1024Mb_x86_analysis.json
====================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## pi_stage_2048Mb_x86_analysis.json
====================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 10 |
| 2048 | 5 | 10 |
| 2048 | 6 | 10 |
| 2048 | 7 | 10 |
| 2048 | 8 | 10 |
| 2048 | 9 | 10 |
| 2048 | 10 | 10 |
| 2048 | 12 | 10 |
| 2048 | 16 | 10 |
| 2048 | 20 | 10 |
| 2048 | 24 | 10 |
| 2048 | 28 | 10 |

## pi_stage_512Mb_x86_analysis.json
===================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
| 512 | 6 | 10 |
| 512 | 7 | 10 |
| 512 | 8 | 10 |
| 512 | 9 | 10 |
| 512 | 10 | 10 |
| 512 | 12 | 10 |
| 512 | 16 | 10 |
| 512 | 20 | 10 |
| 512 | 24 | 10 |
| 512 | 28 | 10 |

## pi_stage_aws_1024Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 11 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 13 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 11 |
| 1024 | 24 | 11 |
| 1024 | 28 | 11 |

## pi_stage_aws_1024Mb_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 1024 | 4 | 10 |
| 1024 | 5 | 10 |
| 1024 | 6 | 10 |
| 1024 | 7 | 10 |
| 1024 | 8 | 10 |
| 1024 | 9 | 10 |
| 1024 | 10 | 10 |
| 1024 | 12 | 10 |
| 1024 | 16 | 10 |
| 1024 | 20 | 10 |
| 1024 | 24 | 10 |
| 1024 | 28 | 10 |

## pi_stage_aws_2048MB_x86_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 13 |
| 2048 | 5 | 13 |
| 2048 | 6 | 13 |
| 2048 | 7 | 13 |
| 2048 | 8 | 13 |
| 2048 | 9 | 13 |
| 2048 | 10 | 14 |
| 2048 | 12 | 14 |
| 2048 | 16 | 14 |
| 2048 | 20 | 15 |
| 2048 | 24 | 16 |
| 2048 | 28 | 16 |

## pi_stage_aws_2048Mb_arm_analysis.json
========================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 2048 | 4 | 10 |
| 2048 | 5 | 10 |
| 2048 | 6 | 10 |
| 2048 | 7 | 10 |
| 2048 | 8 | 10 |
| 2048 | 9 | 10 |
| 2048 | 10 | 10 |
| 2048 | 12 | 10 |
| 2048 | 16 | 10 |
| 2048 | 20 | 10 |
| 2048 | 24 | 10 |
| 2048 | 28 | 10 |

## pi_stage_aws_512Mb_arm_analysis.json
=======================================
| Memory | Workers | Total Executions |
|---------|---------|------------------|
| 512 | 4 | 10 |
| 512 | 5 | 10 |
